VCF_ID	Population
P21002-123	Range wide
P21002-124	Range wide
P21002-125	Range wide
P21002-126	Range wide
P21002-127	Range wide
P21002-128	Range wide
P21002-129	Range wide
P21002-130	Range wide
P21002-131	Range wide
P21002-132	Range wide
P24354-103	Range wide
P24354-104	Range wide
P24354-105	Range wide
P24354-106	Range wide
P24354-107	Range wide
P24354-108	Range wide
P24354-109	Range wide
P267-102	Range wide
P267-103	Range wide
P267-104	Range wide
P8109-101	Range wide
P8109-102	Range wide
P8109-103	Range wide
P8109-104	Range wide
P8109-105	Range wide
P8109-107	Range wide
P8109-108	Range wide
P8109-109	Range wide
P9904-107	Range wide
P9904-117	Range wide
